Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
   73	 46.135708	 46.848264	 45.580739	 46.146586	  min	  0.989497	  0.984010	  0.983953	  0.987659	     
   74	 46.721276	 47.194474	 46.250556	 46.713143	     	  0.989602	  0.984611	  0.985412	  0.988072	     
   75	 46.017769	 46.670587	 45.602200	 46.046198	  min	  0.989282	  0.983634	  0.983955	  0.987453	     
   76	 47.336718	 47.677625	 46.833656	 47.302605	     	  0.989025	  0.985433	  0.986479	  0.988002	     
   77	 45.959982	 46.724548	 45.587262	 46.012273	  min	  0.989290	  0.983671	  0.984107	  0.987489	     
   78	 46.522193	 46.975912	 45.952767	 46.492690	     	  0.989290	  0.983934	  0.984639	  0.987622	     
   79	 45.927398	 46.707699	 45.678870	 46.004485	  min	  0.989014	  0.983686	  0.984256	  0.987333	     
   80	 47.174623	 47.435224	 46.642090	 47.122665	     	  0.988750	  0.984549	  0.985942	  0.987581	     
   81	 45.895145	 46.740736	 45.707775	 45.992374	  min	  0.988956	  0.983491	  0.984262	  0.987263	     
   82	 46.340095	 46.782793	 45.824585	 46.319067	     	  0.988890	  0.983178	  0.984132	  0.987145	     
   83	 45.737855	 46.525608	 45.619800	 45.839155	  min	  0.988724	  0.983048	  0.983938	  0.986980	     
   84	 47.012843	 47.088390	 46.319914	 46.901552	     	  0.988623	  0.983530	  0.985026	  0.987175	     
   85	 45.601499	 46.356503	 45.462012	 45.694363	  min	  0.988667	  0.982157	  0.983294	  0.986686	     
   86	 46.157047	 46.386763	 45.530048	 46.082561	     	  0.988821	  0.981817	  0.983008	  0.986685	     
   87	 45.508449	 46.205809	 45.466735	 45.610017	  min	  0.988520	  0.981866	  0.983236	  0.986530	     
   88	 46.814270	 46.848194	 46.091147	 46.690546	     	  0.988332	  0.982693	  0.984307	  0.986721	     
   89	 45.438366	 46.071616	 45.290385	 45.512108	  min	  0.988464	  0.981139	  0.982651	  0.986274	     
   90	 45.997707	 46.169731	 45.373882	 45.914805	     	  0.988537	  0.980912	  0.982410	  0.986245	     
